target,source,right,pat,wt,dof,chisq,p,f4rank,GermanShepherdDog,Dingo_Ancient_Curracurrang,Dingo_Ancient_Nullarbor,feasible,best,dofdiff,chisqdiff,p_nested,weight_GermanShepherdDog,weight_Dingo_Ancient_Curracurrang,weight_Dingo_Ancient_Nullarbor,se_GermanShepherdDog,se_Dingo_Ancient_Curracurrang,se_Dingo_Ancient_Nullarbor,z_GermanShepherdDog,z_Dingo_Ancient_Curracurrang,z_Dingo_Ancient_Nullarbor,num_sources,num_right,all_above_3,rank
EAST_cd645,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,1.22602994116038,0.873794645533806,1,0.248248449479722,0.751751550520278,NA,TRUE,NA,NA,NA,NA,0.248248449479722,0.751751550520278,NA,0.0154898525054476,0.0154898525054476,NA,16.026521194596,48.5318727377099,NA,2,6,TRUE,1
EAST_cd647,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,6.50555740267989,0.164440558601463,1,0.174225847026717,0.825774152973283,NA,TRUE,NA,NA,NA,NA,0.174225847026717,0.825774152973283,NA,0.0145347735763169,0.014534773576317,NA,11.9868291110226,56.8136922558465,NA,2,6,TRUE,1
EAST_cd649,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.24088513242241,0.691551439977397,1,0.154930656472087,NA,0.845069343527913,TRUE,NA,NA,NA,NA,0.154930656472087,NA,0.845069343527913,0.0143159994042106,NA,0.0143159994042107,10.8222033333222,NA,59.0297135161489,2,6,TRUE,1
EAST_cd650,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,8.36415767848612,0.0791134371499775,1,0.196760436010197,0.803239563989803,NA,TRUE,NA,NA,NA,NA,0.196760436010197,0.803239563989803,NA,0.0133993442475978,0.0133993442475979,NA,14.6843332311185,59.9461846152511,NA,2,6,TRUE,1
EAST_cd654,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.40690729130285,0.661379365416169,1,0.212600667922157,NA,0.787399332077843,TRUE,NA,NA,NA,NA,0.212600667922157,NA,0.787399332077843,0.0164951159606972,NA,0.016495115960697,12.8887040520794,NA,47.7353014040025,2,6,TRUE,1
EAST_cd655,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.07711152722515,0.721578456767784,1,0.239857951289011,NA,0.760142048710989,TRUE,NA,NA,NA,NA,0.239857951289011,NA,0.760142048710989,0.0166160578979573,NA,0.0166160578979573,14.4353102740752,NA,45.7474362077445,2,6,TRUE,1
EAST_cd656,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.81884270933975,0.588584523195838,1,0.216714074649216,NA,0.783285925350784,TRUE,NA,NA,NA,NA,0.216714074649216,NA,0.783285925350784,0.0159239209640036,NA,0.0159239209640035,13.6093412633172,NA,49.1892623130587,2,6,TRUE,1
EAST_cd659,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,1.67892457445681,0.794542347570863,1,0.2510398659524,0.7489601340476,NA,TRUE,NA,NA,NA,NA,0.2510398659524,0.7489601340476,NA,0.0132344309505615,0.0132344309505614,NA,18.9686936212206,56.5917897675704,NA,2,6,TRUE,1
EAST_cd663,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,3.03707100282354,0.551640937965812,1,0.177850242773681,0.822149757226319,NA,TRUE,NA,NA,NA,NA,0.177850242773681,0.822149757226319,NA,0.0127758713779841,0.0127758713779841,NA,13.9207915853129,64.3517559704836,NA,2,6,TRUE,1
EAST_cd702,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,2.55706562304048,0.63444728311882,1,0.273889771430169,0.726110228569831,NA,TRUE,NA,NA,NA,NA,0.273889771430169,0.726110228569831,NA,0.0155349983505182,0.0155349983505182,NA,17.6304989064278,46.7402835962073,NA,2,6,TRUE,1
