,Node1_ID,Node2_ID
265,94,95
266,94,109
267,94,108
268,95,110
269,95,96
270,95,109
271,96,97
272,96,111
273,96,110
274,97,112
275,97,98
276,97,111
277,98,99
278,98,112
279,98,113
280,99,113
281,99,100
282,99,114
283,100,115
284,100,101
285,100,114
286,101,116
287,101,115
288,101,102
289,102,103
290,102,116
291,102,117
292,103,118
293,103,104
294,103,117
295,104,119
296,104,118
297,104,105
298,105,106
299,105,119
300,105,120
301,106,107
302,106,121
303,106,120
304,107,122
305,107,121
306,108,109
307,109,110
308,109,123
309,110,124
310,110,111
311,110,123
312,111,112
313,111,125
314,111,124
315,112,113
316,112,126
317,112,125
318,113,114
319,113,126
320,113,127
321,114,115
322,114,128
323,114,127
324,115,116
325,115,128
326,115,129
327,116,117
328,116,130
329,116,129
330,117,118
331,117,130
332,117,131
333,118,119
334,118,132
335,118,131
336,119,120
337,119,133
338,119,132
339,120,121
340,120,133
341,120,134
342,121,134
343,121,122
344,121,135
345,122,135
346,122,136
347,123,124
348,123,137
349,124,125
350,124,138
351,124,137
352,125,126
353,125,139
354,125,138
355,126,127
356,126,140
357,126,139
358,127,128
359,127,140
360,127,141
361,128,129
362,128,142
363,128,141
364,129,130
365,129,142
366,129,143
367,130,143
368,130,131
369,130,144
370,131,144
371,131,132
372,131,145
373,132,146
374,132,133
375,132,145
376,133,134
377,133,147
378,133,146
379,134,148
380,134,135
381,134,147
382,135,136
383,135,149
384,135,148
385,136,149
386,136,150
387,137,152
388,137,153
389,137,138
390,138,154
391,138,153
392,138,139
393,139,140
394,139,154
395,139,155
396,140,141
397,140,156
398,140,155
399,141,156
400,141,157
401,141,142
402,142,143
403,142,158
404,142,157
405,143,158
406,143,159
407,143,144
408,144,145
409,144,159
410,144,160
411,145,146
412,145,161
413,145,160
414,146,147
415,146,161
416,146,162
417,147,148
418,147,163
419,147,162
420,148,149
421,148,163
422,148,164
423,149,150
424,149,165
425,149,164
426,150,151
427,150,165
428,150,166
429,151,166
430,151,167
431,152,153
432,152,168
433,153,154
434,153,168
435,153,169
436,154,155
437,154,170
438,154,169
439,155,156
440,155,170
441,155,171
442,156,157
443,156,172
444,156,171
445,157,158
446,157,173
447,157,172
448,158,159
449,158,173
450,158,174
451,159,160
452,159,175
453,159,174
454,160,176
455,160,161
456,160,175
457,161,177
458,161,176
459,161,162
460,162,163
461,162,178
462,162,177
463,163,179
464,163,178
465,163,164
466,164,165
467,164,180
468,164,179
469,165,180
470,165,181
471,165,166
472,166,167
473,166,182
474,166,181
475,167,182
476,167,183
477,168,169
478,168,184
479,169,185
480,169,170
481,169,184
482,170,185
483,170,186
484,170,171
485,171,187
486,171,186
487,171,172
488,172,173
489,172,187
490,172,188
491,173,174
492,173,189
493,173,188
494,174,189
495,174,190
496,174,175
497,175,176
498,175,191
499,175,190
500,176,191
501,176,192
502,176,177
503,177,178
504,177,192
505,177,193
506,178,179
507,178,194
508,178,193
509,179,180
510,179,194
511,179,195
512,180,181
513,180,196
514,180,195
515,181,182
516,181,196
517,181,197
518,182,183
519,182,198
520,182,197
521,183,198
522,184,185
523,184,200
524,184,199
525,185,186
526,185,200
527,185,201
528,186,187
529,186,201
530,186,202
531,187,188
532,187,203
533,187,202
534,188,189
535,188,203
536,188,204
537,189,190
538,189,205
539,189,204
540,190,191
541,190,206
542,190,205
543,191,192
544,191,206
545,191,207
546,192,208
547,192,193
548,192,207
549,193,209
550,193,194
551,193,208
552,194,210
553,194,209
554,194,195
555,195,196
556,195,210
557,195,211
558,196,212
559,196,211
560,196,197
561,197,212
562,197,198
563,197,213
564,198,213
565,199,200
566,199,214
567,200,201
568,200,215
569,200,214
570,201,202
571,201,215
572,201,216
573,202,203
574,202,217
575,202,216
576,203,218
577,203,204
578,203,217
579,204,219
580,204,205
581,204,218
582,205,206
583,205,219
584,205,220
585,206,207
586,206,220
587,206,221
588,207,222
589,207,221
590,207,208
591,208,209
592,208,222
593,208,223
594,209,224
595,209,223
596,209,210
597,210,211
598,210,224
599,210,225
600,211,212
601,211,226
602,211,225
603,212,213
604,212,227
605,212,226
606,213,228
607,213,227
608,214,215
609,214,231
610,214,230
611,215,216
612,215,231
613,215,232
614,216,232
615,216,233
616,216,217
617,217,218
618,217,233
619,217,234
620,218,235
621,218,219
622,218,234
623,219,220
624,219,236
625,219,235
626,220,237
627,220,221
628,220,236
629,221,222
630,221,238
631,221,237
632,222,239
633,222,223
634,222,238
635,223,224
636,223,239
637,223,240
638,224,225
639,224,241
640,224,240
641,225,242
642,225,226
643,225,241
644,226,242
645,226,227
646,226,243
647,227,243
648,227,244
649,227,228
650,228,245
651,228,229
652,228,244
653,229,246
654,229,245
655,230,247
656,230,248
657,230,231
658,231,248
659,231,249
660,231,232
661,232,250
662,232,249
663,232,233
664,233,251
665,233,234
666,233,250
667,234,235
668,234,252
669,234,251
670,235,253
671,235,252
672,235,236
673,236,253
674,236,254
675,236,237
676,237,255
677,237,254
678,237,238
679,238,239
680,238,255
681,238,256
682,239,240
683,239,257
684,239,256
685,240,257
686,240,258
687,240,241
688,241,242
689,241,258
690,241,259
691,242,259
692,242,260
