Sample_Name	q_value
CAPTIVE_cd047	1
CAPTIVE_cd048	1
CAPTIVE_cd049	1
CAPTIVE_cd050	1
CAPTIVE_cd051	1
CAPTIVE_cd052	1
WEST_cd053	1
WEST_cd054	1
WEST_cd055	1
WEST_cd056	1
WEST_cd057	1
MIXED_cd058	0.037
EAST_cd059	0.851
EAST_cd060	0.609
EAST_cd061	0.992
WEST_cd062	1
EAST_cd063	0.993
WEST_cd064	0.899
EAST_cd066	0.956
WEST_cd068	0.943
MIXED_cd070	0.343
CAPTIVE_cd071	1
BIGDESERT_cd073	1
EAST_cd074	1
BIGDESERT_cd075	1
HYBRID_cd076	0.523
CAPTIVE_cd077	1
CAPTIVE_cd085	1
CAPTIVE_cd087	0.795
MIXED_cd088	0
CAPTIVE_cd090	1
WEST_cd091	0.999
WEST_cd092	1
CAPTIVE_cd094	1
EAST_cd096	0.883
EAST_cd097	0.818
CAPTIVE_cd098	1
CAPTIVE_cd099	1
CAPTIVE_cd100	0.939
CAPTIVE_cd101	1
CAPTIVE_cd102	1
CAPTIVE_cd103	1
CAPTIVE_cd104	1
CAPTIVE_cd106	1
WEST_cd108	0.889
CAPTIVE_cd109	1
EAST_cd110	0.999
BIGDESERT_cd111	1
BIGDESERT_cd112	1
BIGDESERT_cd113	1
BIGDESERT_cd114	1
BIGDESERT_cd115	1
MIXED BREED_cd118	0.053
WEST_cd120_1	1
WEST_cd121	1
WEST_cd124	1
WEST_cd125	1
WEST_cd126	1
CAPTIVE_cd127	0.7
EAST_cd132	1
EAST_cd133	1
EAST_cd134	1
EAST_cd135	1
EAST_cd136	0.886
EAST_cd137	0.965
EAST_cd138	0.972
EAST_cd139	0.952
EAST_cd140	1
EAST_cd141	0.999
EAST_cd142	1
EAST_cd143	0.974
EAST_cd144	1
EAST_cd146	1
EAST_cd147	1
EAST_cd149	1
EAST_cd150	1
EAST_cd151	1
EAST_cd152	1
EAST_cd155	1
EAST_cd156	1
EAST_cd159	1
EAST_cd160	1
EAST_cd162	1
EAST_cd163	1
EAST_cd164	1
EAST_cd165	1
EAST_cd166	1
EAST_cd167	1
WEST_cd168	1
CAPTIVE_cd169	0.776
CAPTIVE_cd172	1
CAPTIVE_cd175	0.626
EAST_cd177	0.599
SOUTH_cd179	0.934
CAPTIVE_cd180	1
SOUTH_cd184	0.913
WEST_cd190	0.984
WEST_cd191	0.99
WEST_cd192	1
WEST_cd193	1
WEST_cd195	1
WEST_cd196	1
WEST_cd197	1
WEST_cd201	1
